"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"CON1";"USB_MINI_B";1;"USB-MINI-B";;;
2;"U1";"TQFP44";1;"ATMEGA32U4";;;
3;"SW1";"SW_PUSH_SMALL";1;"SW_PUSH";;;
4;"U2";"SOT223";1;"LD1117";;;
5;"P1";"pin_array_3x2";1;"CONN_3X2";;;
6;"SW2";"PIN_ARRAY_3X1";1;"Power Select";;;
7;"JP1";"PIN_ARRAY_3X1";1;"Vcc Select";;;
8;"BT1";"PIN_ARRAY_2X1";1;"BATTERY";;;
9;"D3";"LED-3MM";1;"TX";;;
10;"D2";"LED-3MM";1;"LED";;;
11;"D1";"LED-3MM";1;"RX";;;
12;"C24,C20";"c_0603";2;"2.2nF";;;
13;"C21,C23,C5,C6,C7,C8,C9";"c_0603";7;"0.1uF";;;
14;"R8";"c_0603";1;"22K";;;
15;"C14";"c_0603";1;"1nF";;;
16;"R9";"c_0603";1;"1M";;;
17;"C16,C17";"c_0603";2;"22pF";;;
18;"L1";"c_0603";1;"8.2nH";;;
19;"L2";"c_0603";1;"3.9nH";;;
20;"L3";"c_0603";1;"2.7nH";;;
21;"C22,C13";"c_0603";2;"10nF";;;
22;"C18";"c_0603";1;"4.7pF";;;
23;"C15";"c_0603";1;"1.5pF";;;
24;"C19";"c_0603";1;"1pF";;;
25;"C12";"c_0603";1;"33nF";;;
26;"C2,C1";"c_0603";2;"18pF";;;
27;"C4,C3";"c_0603";2;"1uF";;;
28;"R2,R3";"c_0603";2;"22";;;
29;"R4";"c_0603";1;"3K9";;;
30;"R1";"c_0603";1;"10K";;;
31;"C10";"c_0603";1;"100nF";;;
32;"C11";"c_0603";1;"10uF";;;
33;"R6,R5,R7";"c_0603";3;"680";;;
34;"R10,R11";"c_0603";2;"R";;;
35;"X1,X2";"crystal";2;"QUARTZ";;;
36;"A1";"Antenna";1;"Antenna";;;
37;"Hole1,Hole2";"Drill3mm";2;"CONN_1";;;
38;"U4";"qfn-24";1;"MPU-6050";;;
39;"U3";"qfn-20";1;"NRF24L01+";;;
